"HFAJK";"Torneo 1";"España"
"HSDAK";"Torneo 2";"USA"
"UDSOA";"Torneo 3";"Bulgaria"
"GJKLW";"Torneo 4";"Francia"
"SKDLO";"Torneo 5";"Alemania"
"QWEAS";"Torneo 6";"Italia"
"XCVBN";"Torneo 7";"Argentina"
"ZXMCV";"Torneo 8";"Brasil"
"ASDFG";"Torneo 9";"México"
"POIUY";"Torneo 10";"Canadá"
"MNBVC";"Torneo 11";"Reino Unido"
"LKJHG";"Torneo 12";"Japón"
"ERTYU";"Torneo 13";"Rusia"
"UIOPE";"Torneo 14";"China"
"QWERT";"Torneo 15";"India"
"FGHJK";"Torneo 16";"Australia"
"CVBNM";"Torneo 17";"Sudáfrica"
"TYUIO";"Torneo 18";"Chile"
"NBVCX";"Torneo 19";"Colombia"
"POIUY";"Torneo 20";"Perú"
"ASDFG";"Torneo 21";"México"
"ZXCVB";"Torneo 22";"Argentina"
"QWERT";"Torneo 23";"España"
"UIOPA";"Torneo 24";"Italia"
"PLMNB";"Torneo 25";"Francia"
"YUIOH";"Torneo 26";"Alemania"
"NBVCX";"Torneo 27";"Brasil"
"LKJHG";"Torneo 28";"Canadá"
"MNBVC";"Torneo 29";"Reino Unido"
"TYUIO";"Torneo 30";"Japón"
"POIUY";"Torneo 31";"Rusia"
"CVBNM";"Torneo 32";"China"
"FGHJK";"Torneo 33";"India"
"ERTYU";"Torneo 34";"Australia"
"UIOPE";"Torneo 35";"Sudáfrica"
"QWERT";"Torneo 36";"Chile"
"CVBNM";"Torneo 37";"Colombia"
"TYUIO";"Torneo 38";"Perú"
"ZXCVB";"Torneo 39";"Uruguay"
"ASDFG";"Torneo 40";"Ecuador"